Sum of id,Chip Name,Ink-Recovery Rate,Ink Saver (Main),Ink Saver (Sub),Splat Ink Recovery,Sticky Ink,Knockback,Explosion Knockback,Shot-Spread Reduction,Homing Shot,Quick Charge (Charger),Quick Charge (Bow),Quick Charge (Splatling),No-Launch Brella,Quick Charge (Splatana),Brella Cooldown,Midfire Charge,Extra comments,Extra conditions
1,Ink-Recovery Rate,100%,100%,100%,0%,70%,0%,100%,100%,0%,100%,100%,100%,100%,Off,5,Off,,Normal to top
2,Ink Saver (Main),125%,80%,80%,2%,45%,100%,117%,80%,12%,69%,80%,88%,90%,On,3.5,On,,Normal to angler fish
3,Ink Saver (Sub),150%,70%,70%,4%,30%,200%,133%,60%,25%,60%,67%,80%,75%,,3,,,
4,Splat Ink Recovery,175%,60%,60%,6%,20%,600%,167%,40%,33%,47%,60%,71%,62%,,2.5,,,
5,Sticky Ink,200%,50%,50%,10%,10%,1000%,200%,20%,50%,31%,53%,59%,50%,,2,,,
6,Knockback,300%,25%,25%,20%,1%,2000%,300%,None,100%,5%,33%,35%,37%,,5,,,
7,Explosion Knockback,,,,,,,,,,,,,,,,,,
8,Shot-Spread Reduction,,,,,,,,,,,,,,,,,,
9,Homing Shot,,,,,,,,,,,,,,,,,,
10,Quick Charge (Charger),,,,,,,,,,,,,,,,,Aerial charge penalty is removed starting at level 2 chip for charger,
11,Quick Charge (Bow),,,,,,,,,,,,,,,,,,
12,Quick Charge (Splatling),,,,,,,,,,,,,,,,,,
13,Quick Charge (Splatana),,,,,,,,,,,,,,,,,,
14,No-Launch Brella,,,,,,,,,,,,,,,,,,
15,Brella Cooldown,,,,,,,,,,,,,,,,,,
16,Midfire Charge,,,,,,,,,,,,,,,,,,
